"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://semantic-suggestion.ecotechlab.fr/","https://semantic-suggestion.ecotechlab.fr/","47373","","Skip to main content","200","OK","true","","","Path-Relative","//body/div[2]/a[@class='visually-hidden-focusable']","Content","HTML"
"Hyperlink","https://semantic-suggestion.ecotechlab.fr/","https://semantic-suggestion.ecotechlab.fr/","47373","TYPO3 Semantic Suggestion logo","","200","OK","true","","","Root-Relative","//body/div[2]/header/div/a","Header","HTML"
"Hyperlink","https://semantic-suggestion.ecotechlab.fr/","https://semantic-suggestion.ecotechlab.fr/","47373","","Home","200","OK","true","","","Root-Relative","//body/div[2]/header/div/nav/ul[@class='navbar-nav'][1]/li/a","Navigation","HTML"
"Hyperlink","https://semantic-suggestion.ecotechlab.fr/","https://semantic-suggestion.ecotechlab.fr/","47373","","English","200","OK","true","","","Root-Relative","//body/div[2]/footer/section[2]/div/div/div/div/div/div/div[@class='footer-language']/ul/li[1]/a","Footer","HTML"
"Hyperlink","https://semantic-suggestion.ecotechlab.fr/","https://semantic-suggestion.ecotechlab.fr/","47373","","","200","OK","true","","","Path-Relative","//body/div[2]/a[@class='scroll-top']","Content","HTML"
"Hyperlink","https://semantic-suggestion.ecotechlab.fr/our-articles/exploring-tennis-tournaments-and-rankings","https://semantic-suggestion.ecotechlab.fr/","47373","TYPO3 Semantic Suggestion logo","","200","OK","true","","","Root-Relative","//body/div[2]/header/div/a","Header","HTML"
"Hyperlink","https://semantic-suggestion.ecotechlab.fr/our-articles/exploring-tennis-tournaments-and-rankings","https://semantic-suggestion.ecotechlab.fr/","47373","","Home","200","OK","true","","","Root-Relative","//body/div[2]/header/div/nav/ul[@class='navbar-nav'][1]/li/a","Navigation","HTML"
"Hyperlink","https://semantic-suggestion.ecotechlab.fr/our-articles/exploring-tennis-tournaments-and-rankings","https://semantic-suggestion.ecotechlab.fr/","47373","","Semantic Suggestion : A better topical mesh in a few second","200","OK","true","","","Root-Relative","//body/div[2]/nav/div/ol/li[1]/a","Navigation","HTML"
"Hyperlink","https://semantic-suggestion.ecotechlab.fr/our-articles/all-about-chess-strategy","https://semantic-suggestion.ecotechlab.fr/","47373","TYPO3 Semantic Suggestion logo","","200","OK","true","","","Root-Relative","//body/div[2]/header/div/a","Header","HTML"
"Hyperlink","https://semantic-suggestion.ecotechlab.fr/our-articles/all-about-chess-strategy","https://semantic-suggestion.ecotechlab.fr/","47373","","Home","200","OK","true","","","Root-Relative","//body/div[2]/header/div/nav/ul[@class='navbar-nav'][1]/li/a","Navigation","HTML"
